region,season,year,subset,nsat,H_state3
AKcorr_5,winter,2026,AC,2,0.5342379467694279
AKcorr_5,winter,2026,ACD,3,0.5342379467694279
AKcorr_5,winter,2026,AD,2,0.35392872315166757
AKcorr_5,winter,2026,C,1,0.4219307128964317
AKcorr_5,winter,2026,CD,2,0.4219307128964317
AKcorr_5,winter,2026,D,1,0.0
AKcorr_6,freeze-up,2019,A,1,0.533419986587807
AKcorr_6,freeze-up,2019,AB,2,0.6284152382906032
AKcorr_6,freeze-up,2019,B,1,0.44175123460427246
AKcorr_6,freeze-up,2020,A,1,0.4250843694135602
AKcorr_6,freeze-up,2020,AB,2,0.5620651882539796
AKcorr_6,freeze-up,2020,B,1,0.4273390861997416
AKcorr_6,freeze-up,2021,A,1,0.42523340291671
AKcorr_6,freeze-up,2021,AB,2,0.563594224550406
AKcorr_6,freeze-up,2021,B,1,0.4520265718886233
AKcorr_6,freeze-up,2025,A,1,0.5254890725370038
AKcorr_6,freeze-up,2025,AC,2,0.6341181091003787
AKcorr_6,freeze-up,2025,C,1,0.488892085988749
AKcorr_6,melt,2019,A,1,0.3402008022068868
AKcorr_6,melt,2019,AB,2,0.3591843629669087
AKcorr_6,melt,2019,B,1,0.2856495567127156
AKcorr_6,melt,2020,A,1,0.2920214624437626
AKcorr_6,melt,2020,AB,2,0.3895060517582533
AKcorr_6,melt,2020,B,1,0.281892845992319
AKcorr_6,melt,2021,A,1,0.264470991706157
AKcorr_6,melt,2021,AB,2,0.3568115990042548
AKcorr_6,melt,2021,B,1,0.27339659791200643
AKcorr_6,melt,2025,A,1,0.26861066236184417
AKcorr_6,melt,2025,AC,2,0.3438561864146882
AKcorr_6,melt,2025,C,1,0.2791749073628677
AKcorr_6,melt,2026,A,1,0.27802379541427635
AKcorr_6,melt,2026,AC,2,0.2541441390648445
AKcorr_6,melt,2026,ACD,3,0.37756973763844687
AKcorr_6,melt,2026,AD,2,0.3449653915131575
AKcorr_6,melt,2026,C,1,0.157066916329807
AKcorr_6,melt,2026,CD,2,0.35630445162305846
AKcorr_6,melt,2026,D,1,0.3223205557976948
AKcorr_6,winter,2019,A,1,0.38652225643704285
AKcorr_6,winter,2019,AB,2,0.45368906668893166
AKcorr_6,winter,2019,B,1,0.24613397023333308
AKcorr_6,winter,2020,A,1,0.4843604127371308
AKcorr_6,winter,2020,AB,2,0.5849357749416146
AKcorr_6,winter,2020,B,1,0.38287003368312034
