region,year,season,dt_h,O,n_acq
AKcorr_2,2017,winter,12,0.0,31
AKcorr_2,2017,winter,24,0.0924,31
AKcorr_2,2017,winter,48,0.1476,31
AKcorr_2,2017,winter,72,0.2656,31
AKcorr_2,2017,winter,168,0.7294,31
AKcorr_2,2017,shoulder,6,0.0,20
AKcorr_2,2017,shoulder,12,0.0,20
AKcorr_2,2017,shoulder,24,0.0815,20
AKcorr_2,2017,shoulder,48,0.1467,20
AKcorr_2,2017,shoulder,72,0.2934,20
AKcorr_2,2017,shoulder,168,0.9342,20
AKcorr_2,2017,melt,6,0.0,21
AKcorr_2,2017,melt,12,0.0,21
AKcorr_2,2017,melt,24,0.0,21
AKcorr_2,2017,melt,48,0.0,21
AKcorr_2,2017,melt,72,0.0,21
AKcorr_2,2017,melt,168,0.9836,21
AKcorr_2,2017,freeze-up,6,0.0,15
AKcorr_2,2017,freeze-up,12,0.0,15
AKcorr_2,2017,freeze-up,24,0.0,15
AKcorr_2,2017,freeze-up,48,0.0,15
AKcorr_2,2017,freeze-up,72,0.0,15
AKcorr_2,2017,freeze-up,168,0.9131,15
AKcorr_2,2018,winter,6,0.0,15
AKcorr_2,2018,winter,12,0.0,15
AKcorr_2,2018,winter,24,0.0,15
AKcorr_2,2018,winter,48,0.0,15
AKcorr_2,2018,winter,72,0.0,15
AKcorr_2,2018,winter,168,0.9333,15
AKcorr_2,2018,shoulder,6,0.0,10
AKcorr_2,2018,shoulder,12,0.0,10
AKcorr_2,2018,shoulder,24,0.0,10
AKcorr_2,2018,shoulder,48,0.0,10
AKcorr_2,2018,shoulder,72,0.0,10
AKcorr_2,2018,shoulder,168,0.869,10
AKcorr_2,2018,melt,6,0.0,28
AKcorr_2,2018,melt,12,0.0,28
AKcorr_2,2018,melt,24,0.0,28
AKcorr_2,2018,melt,48,0.1304,28
AKcorr_2,2018,melt,72,0.1304,28
AKcorr_2,2018,melt,168,0.91,28
AKcorr_2,2018,freeze-up,6,0.0,22
